num_processes,N,time_seconds,throughput_GBps,speedup,efficiency
1,10000000,0.049334235,1.621591984,0.993831099,99.383109924
2,10000000,0.036074825,2.217612975,1.359116697,67.955834852
4,10000000,0.028173441,2.839553749,1.740287848,43.507196192
8,10000000,0.015308177,5.225965182,3.202856682,40.035708530
10,10000000,0.013745370,5.820141619,3.567011801,35.670118011
1,10000000,0.043368521,1.844655943,1.060580046,106.058004607
2,10000000,0.025572800,3.128323844,1.798621504,89.931075205
4,10000000,0.032696502,2.446744915,1.406749505,35.168737622
8,10000000,0.016057267,4.982167887,2.864484224,35.806052798
10,10000000,0.013695857,5.841182483,3.358372390,33.583723895
1,10000000,0.043090544,1.856555814,1.218965117,121.896511680
2,10000000,0.024089010,3.321016513,2.180491021,109.024551030
4,10000000,0.026098243,3.065340452,2.012620926,50.315523156
8,10000000,0.019223606,4.161550127,2.732363012,34.154537655
10,10000000,0.020479061,3.906429108,2.564857344,25.648573438
